name,location,link,tags,description
New York City Beekeepers Association,"New York City, NY",bees.nyc,"Urban Beekeeping, Honey Bees, Education, Mentorship, Hive Health","The New York City Beekeepers Association connects local beekeepers and bee enthusiasts through education, apprenticeships, and hands-on urban beekeeping. Its members can provide practical insight into hive management, bee behavior, pests, swarming, and the challenges of keeping bees in a dense city."
Queens Botanical Garden,"New York City, NY",queensbotanical.org,"Honey Bees, Bee Gardens, Pollinator Education, Youth Programs, Sustainable Gardening","Queens Botanical Garden maintains a Bee Garden and offers youth programs that explore pollinators, flowers, insect anatomy, and pollinator-friendly planting. Its educational focus could make it a strong contact for a student robotics team."
Brooklyn Botanic Garden,"New York City, NY",bbg.org,"Native Bees, Butterflies, Native Plants, Pollinator Habitat, Education","Brooklyn Botanic Garden provides habitat for native bees, monarchs, and other butterflies through areas such as its Native Flora Garden and Discovery Garden. These spaces include native meadows, pollinator plants, and a bee hotel."
New York Botanical Garden and Bronx Green-Up,"New York City, NY",nybg.org/gardens/bronx-green-up/,"Pollinator Gardens, Native Plants, Butterflies, Community Gardens, Environmental Education","The New York Botanical Garden offers pollinator education, native-plant resources, and programs about creating habitats for bees and butterflies. Bronx Green-Up works with community gardens and neighborhood groups throughout the Bronx, including projects involving butterfly gardens and native plants."
GrowNYC School Gardens,"New York City, NY",grownyc.org/school-gardens,"School Gardens, Pollinator Habitat, Youth Education, Native Plants, Urban Agriculture","GrowNYC supports school gardens throughout New York City with educational materials, teacher training, garden-planning resources, and workshops. Its resources cover native pollinator plants, bees in school gardens, irrigation, rainwater collection, and other practical garden projects."
NYC Parks GreenThumb,"New York City, NY",nycgovparks.org/greenthumb,"Community Gardens, Pollinator Gardens, Native Plants, Volunteering, Education","GreenThumb supports community gardens across NYC with materials, training, events, and volunteer coordination. Its local projects include planting and maintaining miniature pollinator gardens and teaching residents how to support bees, butterflies, and hummingbirds."
The Battery Conservancy,"New York City, NY",thebattery.org,"Native Bees, Pollinator Gardens, Urban Agriculture, Environmental Education, Biodiversity","The Battery’s gardens support mason bees, leafcutter bees, bumblebees, honey bees, and other pollinators. It also hosts the Battery Bee Village, an apiary located among native grasses, and offers environmental and urban-agriculture education."
Brooklyn Grange,"New York City, NY",brooklyngrangefarm.com,"Rooftop Farming, Beekeeping, Pollinator Habitat, Green Roofs, Education","Brooklyn Grange operates rooftop farms and builds green spaces across New York City. It provides educational programming, collaborates with community organizations, and has offered urban-beekeeping instruction."
Astor Apiaries,"New York City, NY",astorapiaries.com,"Urban Beekeeping, Honey Bees, Hive Tours, Education, Beekeeping Technology","Astor Apiaries is an NYC beekeeping organization and business that offers hive tours, educational presentations, classes, and a hands-on Urban Beekeeping Academy. It works with rooftop hives, community gardens, schools, and small businesses."
Detroit Hives,"Detroit, MI",https://detroithives.org/,"Urban Beekeeping, Pollinator Habitat, Community Development, Education, Environmental Justice","Detroit Hives converts vacant urban lots into bee farms, pollinator gardens, and community green spaces. It combines pollinator conservation with neighborhood revitalization, food production, and public education."
Bees in the D,"Detroit, MI",https://beesinthed.com/,"Honey Bees, Urban Beekeeping, Education, Botanical Gardens, Pollinator Conservation","Bees in the D operates urban beehives throughout the Detroit area and teaches the public about honey bees and other pollinators through presentations, programs, and live hive experiences."
Detroit Abloom,"Detroit, MI",https://www.detroitabloom.com/,"Native Plants, Butterflies, Native Bees, Pollinator Gardens, Youth Education","Detroit Abloom transforms vacant land into flower farms, native-plant gardens, and pollinator sanctuaries. It also provides educational spaces and programs for children and community members."
Keep Growing Detroit — Sweet on Detroit,"Detroit, MI",https://www.detroitagriculture.net/beekeeping,"Beekeeping, Urban Agriculture, Community Gardens, Training, Hive Health","Keep Growing Detroit’s Sweet on Detroit program provides hands-on beekeeping education for Detroit residents and gardeners, helping participants establish and maintain healthy honey-bee colonies."
Belle Isle Nature Center,"Detroit, MI",https://belleislenaturecenter.detroitzoo.org/,"Native Pollinators, Honey Bees, Butterflies, Pollinator Gardens, Field Trips, Education","Belle Isle Nature Center maintains native-pollinator gardens, honey-bee hives, and a pollinator hotel. Its educational programs cover butterflies, flowers, native bees, honey bees, and pollinator adaptations."
Wild Ones Wayne County,"Detroit, MI",https://waynecountymichigan.wildones.org/,"Native Plants, Pollinator Habitat, Community Science, Conservation, Education","Wild Ones Wayne County helps residents and community organizations create wildlife-friendly landscapes using native plants. It provides education, local habitat resources, garden tours, and pollinator-focused activities."
The Greening of Detroit — Lafayette Greens,"Detroit, MI",https://www.greeningofdetroit.com/greenspaces,"Pollinator Gardens, Native Plants, Urban Greening, Butterflies, Community Education","Lafayette Greens is a downtown Detroit community garden managed by The Greening of Detroit. It includes pollinator-friendly plants and offers educational programming related to native plants, butterflies, bees, and urban gardening."
Rescue MI Nature Now,"Detroit, MI",https://www.pollinator.org/nappc/pollinator-communications/rmnn,"Pollinator Habitat, Vacant-Lot Restoration, Native Plants, Community Greening, Environmental Education","Rescue MI Nature Now transforms unused Detroit land into green spaces with trees, flowers, and native plants. Its projects support pollinator habitat while improving neighborhood environmental conditions."
Houston Native Bees,"Houston, TX",houstonnativebees.org,"Native Bees, Pollinator Habitat, Education, Pollinator Pathways, Community Outreach",Houston Native Bees provides educational resources about native pollinators and partners with public and private organizations to create pollinator-friendly habitats and connected pollinator pathways throughout the Houston region.
Houston Beekeepers Association,"Houston, TX",houstonbeekeepers.org,"Honey Bees, Beekeeping, Hive Health, Education, Mentorship","Houston Beekeepers Association is a volunteer-run organization that supports local beekeepers through education, meetings, resources, and community outreach about honey bees and responsible hive management."
Native Plant Society of Texas — Houston Chapter,"Houston, TX",npsot.org/chapters/houston,"Native Plants, Pollinator Gardens, Butterflies, Habitat Conservation, Education","The Houston Chapter promotes native plants and habitats through education and community outreach. Its resources help residents create gardens that provide food and habitat for bees, butterflies, hummingbirds, and other pollinators."
Houston Arboretum & Nature Center,"Houston, TX",houstonarboretum.org,"Pollinator Monitoring, Native Plants, Conservation Research, Education, Habitat Restoration","Houston Arboretum & Nature Center maintains a pollinator garden and conducts long-term monitoring of pollinators and insects across several habitats. It also provides conservation, gardening, and environmental education programs."
Cockrell Butterfly Center — Houston Museum of Natural Science,"Houston, TX",hmns.org/exhibits/cockrell-butterfly-center,"Butterflies, Entomology, Pollinator Education, Community Science, Museum Outreach","The Cockrell Butterfly Center features live butterflies, entomology exhibits, and outdoor gardens that demonstrate sustainable, pesticide-free habitats for butterflies, bees, and other pollinators."
Texas Master Naturalist — Coastal Prairie Chapter,"Houston, TX",txmn.org/coastal,"Native Pollinators, Community Science, Habitat Restoration, Environmental Education, Volunteering","The Coastal Prairie Chapter trains volunteers to support conservation, education, and environmental restoration in the Houston region. Its projects include pollinator gardens, native-plant habitats, and community-science activities."
Houston Parks Board,"Houston, TX",houstonparksboard.org,"Pollinator Gardens, Monarch Butterflies, Native Plants, Urban Habitat, Community Conservation",Houston Parks Board develops and connects green spaces throughout the city while educating residents about native plants and pollinator habitat. Its resources promote gardens that support monarch butterflies and other local pollinators.
Houston Botanic Garden,"Houston, TX",hbg.org,"Botanical Garden, Native Plants, Butterflies, Pollinator Habitat, Education","Houston Botanic Garden maintains plant collections and natural spaces that provide habitat and food for bees, butterflies, and other pollinators. Its educational programming connects visitors with plants, ecosystems, and conservation."
Trinity Valley Beekeepers Association,"Dallas, TX",tvbees.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Trinity Valley Beekeepers Association is a Dallas-area nonprofit that brings together experienced, new, and aspiring beekeepers. It offers meetings, classes, apiary visits, and practical education about honey bees and responsible hive management."
Collin County Hobby Beekeepers Association,"Dallas, TX",cchba.org,"Honey Bees, Hobby Beekeeping, Education, Youth Outreach, Hive Management","Collin County Hobby Beekeepers Association connects beekeepers and bee enthusiasts in Collin County and the northern Dallas suburbs. Members share practical knowledge about colony health, equipment, pests, and maintaining working hives."
Texas Discovery Gardens,"Dallas, TX",txdg.org,"Butterflies, Native Pollinators, Insect Education, Native Gardens, Museum Outreach","Texas Discovery Gardens is a nonprofit nature center in Dallas with native gardens and a butterfly house and insectarium. It provides education about butterflies, insects, native plants, and creating pollinator-friendly habitats."
Dallas Arboretum and Botanical Garden,"Dallas, TX",dallasarboretum.org,"Pollinator Education, School Programs, Native Plants, STEM Outreach, Botanical Garden","The Dallas Arboretum provides pollinator-focused school programs, workshops, and hands-on STEM activities. Students investigate flowers and insects, collect pollinator data, and use engineering design to explore problems affecting pollinator diversity."
Native Plant Society of Texas — Dallas Chapter,"Dallas, TX",npsot.org/chapters/dallas,"Native Plants, Pollinator Habitat, Conservation, Demonstration Gardens, Community Education","The Dallas Chapter promotes native plants and habitats through public meetings, educational programs, demonstration gardens, plant events, and community projects. Native plants provide food and habitat for bees, butterflies, and other local pollinators."
Heard Natural Science Museum & Wildlife Sanctuary,"Dallas, TX",heardmuseum.org,"Native Butterflies, Pollinator Gardens, Wildlife Habitat, Education, Conservation","The Heard Museum in McKinney operates native-plant gardens and a Native Texas Butterfly House and Garden. Its programs teach visitors about butterflies, bees, hummingbirds, habitat conservation, and wildlife-friendly landscaping."
Fort Worth Botanic Garden,"Dallas, TX",fwbg.org,"Butterflies, Pollinator Gardens, Native Plants, Botanical Research, Education","Fort Worth Botanic Garden maintains pollinator-friendly gardens and offers programs about butterflies, bees, hummingbirds, and North Texas native plants. Its activities include pollinator-gardening education and live butterfly exhibits."
Oak Cliff Bee Company,"Dallas, TX",oakcliffbeecompany.com,"Urban Beekeeping, Honey Bees, Sustainability, Community Education, Hive Technology",Oak Cliff Bee Company is a Dallas-based beekeeping organization and business that promotes sustainable beekeeping and public awareness of bees. It works with communities and organizations to maintain hives and support pollinator health.
Minnesota Native Bees,"Minneapolis, MN",beesmn.org,"Native Bees, Pollinator Identification, Conservation, Education, Community Science","Minnesota Native Bees is a Minneapolis-area nonprofit that teaches the public about Minnesota’s native bee species. It provides identification resources, educational presentations, pollinator events, and information about creating habitat for native bees."
Pollinate Minnesota,"Minneapolis, MN",pollinatemn.org,"Honey Bees, Pollinator Education, School Programs, Educational Apiaries, Advocacy","Pollinate Minnesota operates educational apiaries at schools, parks, and community gardens throughout the Twin Cities. Its programs use live honey bees to teach students and community members about pollination, bee health, science, and conservation."
Minnesota Hobby Beekeepers Association,"Minneapolis, MN",mnbeekeepers.com,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Minnesota Hobby Beekeepers Association is an educational organization with hundreds of members, many located in the Twin Cities. It supports new and experienced beekeepers through meetings, classes, demonstrations, and practical hive-management resources."
Monarch Joint Venture,"Minneapolis, MN",monarchjointventure.org,"Monarch Butterflies, Milkweed, Habitat Restoration, Community Science, Education","Monarch Joint Venture is a Saint Paul-based nonprofit that coordinates monarch butterfly conservation, research, education, and habitat restoration. It works with schools, communities, scientists, and conservation organizations across Minnesota and North America."
University of Minnesota Bee Lab and Bee Squad,"Minneapolis, MN",beelab.umn.edu,"Bee Research, Hive Health, Pollinator Habitat, Data Collection, Community Outreach","The University of Minnesota Bee Lab researches honey bees and native pollinators, while its Bee Squad connects research with beekeepers and the public. Its work includes hive-health monitoring, beekeeper education, pollinator habitat, and community outreach."
Wild Ones Twin Cities,"Minneapolis, MN",twincities.wildones.org,"Native Plants, Pollinator Habitat, Biodiversity, Community Education, Garden Restoration","Wild Ones Twin Cities teaches residents how to restore biodiversity using plants adapted to Minnesota’s climate. The chapter offers educational programs, garden tours, plant resources, and events focused on native plants and pollinator-friendly landscapes."
Blue Thumb — Planting for Clean Water,"Minneapolis, MN",bluethumb.org,"Pollinator Gardens, Native Plants, Lawns to Legumes, Workshops, Habitat Restoration","Blue Thumb helps Twin Cities residents create native gardens, rain gardens, and pollinator habitat. It provides workshops, planting guides, partner connections, and support for Minnesota’s Lawns to Legumes pollinator program."
Minnesota Horticultural Society,"Minneapolis, MN",northerngardener.org,"Gardening Education, Pollinator Plants, Community Gardens, Youth Outreach, Native Plants","Minnesota Horticultural Society is a Roseville-based nonprofit that provides gardening education and community programs throughout the Twin Cities. Its pollinator resources help gardeners choose plants and create habitats that support bees, butterflies, and other beneficial insects."
Atlanta Botanical Garden — Plant Pollinator Program,"Atlanta, GA",atlantabg.org/conservation-research/science-and-research/biodiversity-research/pollinator-research-program/,"Native Bees, Pollinator Research, Habitat Restoration, Education, Community Science","The Atlanta Botanical Garden studies native plant-pollinator relationships, surveys native bees, restores pollinator habitat across metro Atlanta, and creates educational resources for conservation and community science."
Georgia Pollinator Partnership,"Atlanta, GA",botgarden.uga.edu/georgia-pollinator-partnership/,"Pollinator Network, Native Plants, Education, Habitat Mapping, Conservation","The Georgia Pollinator Partnership connects organizations and residents working to protect pollinators through education, pollinator gardens, habitat resources, and a statewide conservation network with strong metro Atlanta participation."
Metro Atlanta Beekeepers Association,"Atlanta, GA",metroatlantabeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Metro Atlanta Beekeepers Association supports new and experienced beekeepers through meetings, training, mentoring, and public education about honey bees and responsible hive management."
Georgia Beekeepers Association,"Atlanta, GA",gabeekeeping.com,"Honey Bees, Beekeeping, Research, Education, Statewide Network","Georgia Beekeepers Association connects local clubs and beekeepers across the state, including the Atlanta region, and promotes education, research, honey-bee health, and responsible beekeeping."
Trees Atlanta,"Atlanta, GA",treesatlanta.org,"Urban Habitat, Native Plants, Pollinators, Environmental Education, Community Forestry","Trees Atlanta protects and expands the city’s urban forest through planting, restoration, education, and volunteer programs. Native trees and understory plants supported by its work provide food and habitat for bees, butterflies, and other pollinators."
Chattahoochee Nature Center,"Atlanta, GA",chattnaturecenter.org,"Butterflies, Native Plants, Wildlife Habitat, Education, Conservation","Chattahoochee Nature Center in the Atlanta metropolitan area offers wildlife and environmental education, native gardens, butterfly programming, and habitat conservation that support local pollinators."
Wylde Center,"Atlanta, GA",wyldecenter.org,"Community Gardens, Native Plants, School Programs, Pollinator Habitat, Urban Agriculture","Wylde Center operates community gardens and environmental education programs in the Atlanta area. Its garden spaces and school partnerships create opportunities for pollinator habitat, monitoring, and hands-on STEM outreach."
Atlanta Audubon Society — Georgia Audubon,"Atlanta, GA",georgiaaudubon.org,"Habitat Restoration, Native Plants, Urban Conservation, Education, Biodiversity","Georgia Audubon works in metro Atlanta to restore bird- and wildlife-friendly habitat, promote native plants, and engage communities in conservation. These projects also benefit bees, butterflies, and other pollinators."
Pollinator Networks,"Boston, MA",pollinatornetworks.org,"Pollinator Habitat, Native Plants, Community Outreach, Art, Education","Pollinator Networks is a Boston-based nonprofit that builds and restores native habitat for bees, butterflies, birds, and other pollinators while using education, art, and community outreach to encourage local conservation."
Boston Area Beekeepers Association,"Boston, MA",bostonbeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Urban Apiaries","Boston Area Beekeepers Association is a regional nonprofit that connects beekeepers and bee enthusiasts through classes, lectures, apiary activities, and practical support for responsible beekeeping in Greater Boston."
Urban Bee Lab,"Boston, MA",urbanbeelab.org,"Bee Research, Hive Data, Sensors, Education, Pollinator Health","Urban Bee Lab is a Boston-area nonprofit focused on pollinator-health research, education, and advocacy. It analyzes data from managed urban hives and shares findings with researchers and the public."
Massachusetts Pollinator Network,"Boston, MA",masspollinatornetwork.org,"Pollinator Advocacy, Native Habitat, Education, Conservation, Community Network","Massachusetts Pollinator Network connects people and organizations working to protect pollinators through habitat creation, public education, advocacy, and shared conservation resources across Greater Boston and the state."
Mass Audubon — Boston Nature Center,"Boston, MA",massaudubon.org/places-to-explore/wildlife-sanctuaries/boston-nature-center,"Native Pollinators, Wildlife Habitat, Education, Community Programs, Conservation","Mass Audubon’s Boston Nature Center provides environmental education, wildlife habitat, gardens, and community programs in the city, including opportunities to learn about bees, butterflies, native plants, and urban biodiversity."
Cambridge Plant & Garden Club,"Boston, MA",cambridgeplantandgardenclub.org,"Native Plants, Pollinator Gardens, Community Education, Urban Gardening, Conservation","The Cambridge Plant & Garden Club promotes gardening, civic planting, and environmental education in the Boston area. Its programs can support native plants and pollinator-friendly urban landscapes."
Trustees Boston Community Gardens,"Boston, MA",thetrustees.org/program/boston-community-gardens/,"Community Gardens, Pollinator Habitat, Urban Agriculture, Education, Volunteering","The Trustees supports dozens of community gardens across Boston. These spaces provide opportunities for pollinator habitat, garden monitoring, youth education, and neighborhood conservation projects."
New England Botanic Garden at Tower Hill,"Boston, MA",nebg.org,"Botanical Garden, Native Plants, Pollinator Education, Conservation, Youth Programs","New England Botanic Garden offers pollinator gardens, native-plant education, conservation programs, and school activities that connect Greater Boston communities with bees, butterflies, plants, and ecosystems."
Puget Sound Beekeepers Association,"Seattle, WA",pugetsoundbees.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Puget Sound Beekeepers Association is a nonprofit serving Seattle and King County that supports beekeepers, protects honey bees, promotes good hive-management practices, and educates the public."
Washington Native Bee Society,"Seattle, WA",wanativebeesociety.org,"Native Bees, Conservation, Identification, Research, Education","Washington Native Bee Society promotes education, advocacy, research, and conservation for Washington’s native bees. It welcomes students, community scientists, artists, and researchers interested in pollinator projects."
West Seattle Bee Garden,"Seattle, WA",westseattlebeegarden.com,"Pollinator Garden, Honey Bees, Native Bees, Community Education, Demonstration Site",West Seattle Bee Garden provides pollinator-friendly habitat and public education about bees and other pollinators through a community demonstration garden and local programs.
Pollinator Pathway Northwest,"Seattle, WA",pollinatorpathwaynw.org,"Pollinator Corridors, Native Plants, Pesticide Reduction, Community Gardens, Education","Pollinator Pathway Northwest helps communities connect pesticide-free native gardens into habitat corridors for bees, butterflies, hummingbirds, and other pollinators throughout the Seattle region."
Seattle Parks and Recreation — Pollinator Habitat,"Seattle, WA",seattle.gov/parks/about-us/plans-and-reports/environment-plans-and-reports/pollinator-habitat,"Native Bees, Public Parks, Habitat Restoration, Native Plants, Bee City USA",Seattle Parks and Recreation manages designated pollinator gardens and native habitat across city parks as part of Seattle’s Bee City USA commitment and pesticide-reduction practices.
Washington Bee Atlas,"Seattle, WA",agr.wa.gov/departments/insects-pests-and-weeds/insects/apiary-pollinators/pollinator-health/bee-atlas,"Native Bees, Community Science, Species Mapping, Identification, Research","Washington Bee Atlas trains volunteers to collect, identify, and document native bees. Seattle-area teams could support field monitoring, mapping, imaging, or community-science technology."
The Common Acre,"Seattle, WA",commonacre.org,"Urban Pollinators, Bee Research, Habitat, Environmental Justice, Education","The Common Acre is a Seattle-area nonprofit that connects ecological restoration, food systems, and community engagement. Its pollinator projects have included urban apiaries and habitat research near Sea-Tac Airport."
Washington Native Plant Society — Central Puget Sound Chapter,"Seattle, WA",wnps.org/cps,"Native Plants, Pollinator Habitat, Conservation, Education, Restoration","The Central Puget Sound Chapter promotes native-plant conservation and education around Seattle. Its programs, plant sales, and restoration work support habitat for native bees, butterflies, and other pollinators."
People and Pollinators Action Network,"Denver, CO",peopleandpollinators.org,"Pollinator Advocacy, Native Plants, Habitat Restoration, Education, Community Action","People and Pollinators Action Network is a Colorado nonprofit that promotes pollinator-safe communities through habitat gardening, education, advocacy, pesticide reduction, and volunteer projects in the Denver area."
The Peoples Bees,"Denver, CO",thepeoplesbees.org,"Urban Beekeeping, Honey Bees, Education, Community Access, Conservation","The Peoples Bees is a Denver nonprofit that connects people with bees through accessible beekeeping, education, community programs, and pollinator conservation."
Mile Hive Bee Club,"Denver, CO",milehivebeeclub.org,"Honey Bees, Beekeeping, Education, Urban Agriculture, Hive Health","Mile Hive Bee Club supports hobby beekeepers along Colorado’s Front Range through education, sustainable hive-management practices, community outreach, and urban-agriculture programs."
Butterfly Pavilion,"Denver, CO",butterflies.org,"Butterflies, Native Pollinators, Invertebrate Conservation, Research, Education","Butterfly Pavilion is a Denver-area nonprofit invertebrate zoo and conservation organization with native pollinator gardens, research programs, public education, and community-science opportunities."
Denver Urban Gardens,"Denver, CO",dug.org,"Community Gardens, Pollinator Habitat, Urban Agriculture, Education, Volunteering","Denver Urban Gardens supports community and school gardens across the metro area. These sites offer opportunities for native planting, pollinator monitoring, irrigation technology, and community STEM outreach."
Colorado Native Plant Society,"Denver, CO",conps.org,"Native Plants, Pollinator Habitat, Conservation, Education, Restoration",Colorado Native Plant Society promotes the knowledge and conservation of native plants. Its Denver-area chapters and programs support habitats that provide food and nesting resources for native pollinators.
Denver Botanic Gardens,"Denver, CO",botanicgardens.org,"Botanical Garden, Pollinator Research, Native Plants, Education, Conservation","Denver Botanic Gardens conducts plant research, maintains pollinator-friendly collections, and provides educational programs about native plants, insects, ecosystems, and sustainable gardening."
Colorado Butterfly Monitoring Network,"Denver, CO",butterflynetwork.org,"Butterflies, Community Science, Species Monitoring, Conservation, Data Collection","Colorado Butterfly Monitoring Network trains volunteers to collect long-term butterfly population data at sites across the Front Range, creating opportunities for robotics teams interested in imaging, mapping, and environmental data."
Arizona Native Plant Society — Phoenix Chapter,"Phoenix, AZ",aznps.com/chapters/phoenix/,"Native Plants, Pollinator Habitat, Conservation, Education, Community Outreach","The Phoenix Chapter promotes Arizona native plants through meetings, field activities, educational resources, and habitat projects that support native bees, butterflies, hummingbirds, and other desert pollinators."
Central Arizona Beekeepers Association,"Phoenix, AZ",centralarizonabeekeepers.org,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Central Arizona Beekeepers Association connects new and experienced beekeepers in the Phoenix area through meetings, training, practical resources, and public education about responsible hive management."
Desert Botanical Garden,"Phoenix, AZ",dbg.org,"Desert Pollinators, Native Plants, Butterflies, Research, Education","Desert Botanical Garden conserves desert plants and provides education about the relationships among native plants, bees, butterflies, moths, bats, and hummingbirds in Sonoran Desert ecosystems."
Maricopa County Master Gardeners,"Phoenix, AZ",extension.arizona.edu/maricopa,"Pollinator Gardens, Native Plants, Gardening Education, Community Outreach, Habitat","Maricopa County Master Gardeners provide research-based gardening education and resources, including guidance for creating desert-adapted gardens that provide food and nesting habitat for pollinators."
Liberty Wildlife,"Phoenix, AZ",libertywildlife.org,"Pollinators, Native Habitat, Conservation, Education, Community Science","Liberty Wildlife operates conservation and environmental education programs in Phoenix and maintains native landscaping that supports insects, birds, bats, and other pollinating wildlife."
Boyce Thompson Arboretum,"Phoenix, AZ",btarboretum.org,"Botanical Garden, Native Plants, Butterflies, Habitat, Education","Boyce Thompson Arboretum, located in the Phoenix metro region, maintains desert and global plant collections that provide habitat for butterflies, bees, hummingbirds, and other pollinators while supporting public education."
