Organization,Location,ZIP Code,Website,Tags,Description,Cooperative Extension?,URL Audit Status,URL Audit Notes
Oklahoma State University Extension — Pontotoc County,"Ada, OK",74820,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Pontotoc County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pontotoc County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UW-Madison Division of Extension — Adams County,"Adams, WI",53910,extension.wisc.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UW-Madison Division of Extension — Adams County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Adams County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
LSU AgCenter Cooperative Extension — West Baton Rouge Parish,"Addis, LA",70710,lsuagcenter.com,"Cooperative Extension, Environmental Education, Gardening & Agriculture","LSU AgCenter Cooperative Extension — West Baton Rouge Parish provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for West Baton Rouge Parish.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WVU Extension — Webster County,"Addison, WV",26288,extension.wvu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WVU Extension — Webster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Webster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Cook County,"Adel, GA",31620,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Cook County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Cook County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Lenawee County,"Adrian, MI",49221,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Lenawee County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lenawee County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Keweenaw County,"Ahmeek, MI",49901,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Keweenaw County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Keweenaw County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Hertford County,"Ahoskie, NC",27910,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Hertford County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hertford County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Clemson Cooperative Extension — Aiken County,"Aiken, SC",29801,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Aiken County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Aiken County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Brown County,"Ainsworth, NE",69210,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Brown County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Brown County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Aitkin County,"Aitkin, MN",56431,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Aitkin County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Aitkin County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Washington County,"Akron, CO",80720,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Washington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Washington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Ohio State University Extension — Summit County,"Akron, OH",44306,extension.osu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Ohio State University Extension — Summit County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Summit County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Shelby County,"Alabaster, AL",35114,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Shelby County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Shelby County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Wheeler County,"Alamo, GA",30411,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Wheeler County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wheeler County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NMSU Cooperative Extension Service — Otero County,"Alamogordo, NM",88310,aces.nmsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NMSU Cooperative Extension Service — Otero County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Otero County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Alamosa County,"Alamosa, CO",81101,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Alamosa County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Alamosa County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Dougherty County,"Albany, GA",31721,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Dougherty County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Dougherty County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Clinton County,"Albany, KY",42602,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Clinton County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clinton County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Gentry County,"Albany, MO",64402,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Gentry County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gentry County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Cornell Cooperative Extension — Albany County,"Albany, NY",12208,cce.cornell.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Cornell Cooperative Extension — Albany County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Albany County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oregon State University Extension — Linn County,"Albany, OR",97321,extension.oregonstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oregon State University Extension — Linn County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Linn County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Shackelford County,"Albany, TX",76430,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Shackelford County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Shackelford County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Stanly County,"Albemarle, NC",28001,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Stanly County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Stanly County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Freeborn County,"Albert Lea, MN",56007,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Freeborn County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Freeborn County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Marshall County,"Albertville, AL",35951,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Marshall County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Marshall County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Monroe County,"Albia, IA",52531,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Monroe County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Monroe County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Edwards County,"Albion, IL",62806,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Edwards County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Edwards County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Boone County,"Albion, NE",68620,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Boone County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Boone County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
ABQ Bees,"Albuquerque, NM",87123,abqbees.com,"Beekeeping, Native Plants, Pollinator Habitat, Environmental Education","ABQ Bees maintains urban apiaries, provides care for local swarms, and encourages native planting and habitat creation for all pollinators.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
ABQ BioPark Botanic Garden,"Albuquerque, NM",87123,cabq.gov/artsculture/biopark/garden,"Native Plants, Conservation, Environmental Education, Youth & STEM Education","ABQ BioPark Botanic Garden maintains regional plant collections and pollinator-focused programs that can support monitoring, educational displays, and habitat research.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Albuquerque Beekeepers,"Albuquerque, NM",87123,abqbeeks.org,"Beekeeping, Environmental Education","Albuquerque Beekeepers connects local beekeepers through education, meetings, swarm assistance, and practical resources adapted to New Mexico's climate.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Burque Bee City USA,"Albuquerque, NM",87123,cabq.gov/parksandrecreation/open-space/bee-city-usa,"Pollinator Habitat, Environmental Education","Burque Bee City USA coordinates citywide efforts to protect pollinators by expanding native habitat, reducing pesticide risks, and engaging residents and organizations.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Native Plant Society of New Mexico — Albuquerque Chapter,"Albuquerque, NM",87123,npsnm.org/albuquerque,"Native Plants, Pollinator Habitat, Conservation, Environmental Education","The Albuquerque Chapter promotes native plant knowledge and conservation through lectures, field activities, and resources that support bees, butterflies, and other desert pollinators.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
New Mexico Beekeepers Association,"Albuquerque, NM",87123,nmbeekeepers.org,"Beekeeping, Environmental Education","New Mexico Beekeepers Association connects local clubs and beekeepers with training, resources, and outreach on colony health and responsible beekeeping.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Rio Grande Nature Center State Park,"Albuquerque, NM",87123,emnrd.nm.gov/spd/find-a-park/rio-grande-nature-center-state-park,"Pollinator Habitat, Environmental Education, Community Science","Rio Grande Nature Center protects bosque habitat and provides education and volunteer opportunities involving native plants, insects, birds, and ecosystem monitoring.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Think Like a Bee,"Albuquerque, NM",87123,thinklikeabee.org,"Pollinator Habitat, Environmental Education","Think Like a Bee promotes pollinator awareness, habitat creation, and community education and helped support Albuquerque's Bee City USA designation.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Mercer County,"Aledo, IL",61231,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Mercer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mercer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Tallapoosa County,"Alexander City, AL",35010,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Tallapoosa County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Tallapoosa County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
LSU AgCenter Cooperative Extension — Rapides Parish,"Alexandria, LA",71302,lsuagcenter.com,"Cooperative Extension, Environmental Education, Gardening & Agriculture","LSU AgCenter Cooperative Extension — Rapides Parish provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Rapides Parish.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Douglas County,"Alexandria, MN",56308,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Douglas County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Douglas County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
SDSU Extension — Hanson County,"Alexandria, SD",57311,extension.sdstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","SDSU Extension — Hanson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hanson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Alexandria County,"Alexandria, VA",22302,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Alexandria County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Alexandria County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UW-Madison Division of Extension — Kewaunee County,"Algoma, WI",54201,extension.wisc.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UW-Madison Division of Extension — Kewaunee County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Kewaunee County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Kossuth County,"Algona, IA",50511,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Kossuth County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Kossuth County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Jim Wells County,"Alice, TX",78332,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Jim Wells County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jim Wells County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Pickens County,"Aliceville, AL",35442,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Pickens County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pickens County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Beaver County,"Aliquippa, PA",15001,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Beaver County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Beaver County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Allegan County,"Allegan, MI",49010,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Allegan County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Allegan County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Clemson Cooperative Extension — Allendale County,"Allendale, SC",29810,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Allendale County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Allendale County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Lehigh County,"Allentown, PA",18104,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Lehigh County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Lehigh County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Box Butte County,"Alliance, NE",69301,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Box Butte County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Box Butte County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Bacon County,"Alma, GA",31510,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Bacon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Bacon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Wabaunsee County,"Alma, KS",66401,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Wabaunsee County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wabaunsee County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Gratiot County,"Alma, MI",48801,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Gratiot County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gratiot County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Harlan County,"Alma, NE",68920,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Harlan County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Harlan County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Michigan State University Extension — Alpena County,"Alpena, MI",49707,canr.msu.edu/outreach,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Michigan State University Extension — Alpena County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Alpena County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Brewster County,"Alpine, TX",79830,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Brewster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Brewster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Campbell County,"Altavista, VA",24517,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Campbell County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Campbell County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Madison County,"Alton, IL",62018,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Madison County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Madison County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Blair County,"Altoona, PA",16601,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Blair County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Blair County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UC Cooperative Extension — Modoc County,"Alturas, CA",96101,ucanr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UC Cooperative Extension — Modoc County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Modoc County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Jackson County,"Altus, OK",73521,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Jackson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jackson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Woods County,"Alva, OK",73717,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Woods County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Woods County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Potter County,"Amarillo, TX",79121,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Potter County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Potter County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Amelia County,"Amelia Court House, VA",23002,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Amelia County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Amelia County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Idaho Extension — Power County,"American Falls, ID",83211,uidaho.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Idaho Extension — Power County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Power County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
